Price,Competitor Price,Discount,Elasticity Index,Storage Cost,Return Rate (%),Customer Reviews,Demand
244.99,255.88,0.0,1.21,8.31,23.14,4.77,1720
1581.85,1588.73,0.14,1.15,11.34,2.13,3.49,484
932.98,933.96,0.09,1.12,13.67,12.61,4.07,1102
1474.58,1471.14,0.28,0.6,28.41,2.92,2.85,1243
1958.18,1997.32,0.15,1.26,18.7,20.68,4.61,50
1123.14,1109.49,0.17,0.6,31.4,21.0,4.26,1308
1052.13,1079.75,0.23,0.8,14.51,16.15,4.43,1658
236.9,238.63,0.35,1.19,8.77,18.89,2.83,2019
610.03,639.83,0.21,1.62,14.05,9.37,4.85,1415
1049.78,1030.01,0.33,1.11,16.78,10.96,4.31,1369
1390.54,1429.41,0.35,0.89,37.38,14.6,3.89,1051
1627.1,1689.83,0.26,1.65,27.25,20.94,4.19,50
823.79,792.09,0.27,0.75,12.58,16.64,3.05,1569
225.28,243.74,0.14,0.67,10.99,11.6,4.95,2318
647.48,647.19,0.18,0.53,20.82,12.24,2.94,1562
1828.23,1861.98,0.3,1.03,19.45,12.93,4.12,503
505.43,513.14,0.07,1.45,31.68,13.25,2.82,1244
959.04,921.45,0.31,1.73,7.95,2.77,2.83,798
1869.29,2068.3,0.23,0.82,6.78,15.84,2.97,749
147.31,139.17,0.09,0.71,13.97,22.9,2.85,1699
1241.04,1229.55,0.01,1.39,22.88,2.15,3.39,129
1905.25,1895.96,0.19,1.51,15.39,24.73,3.85,50
537.58,583.06,0.21,0.79,16.69,5.48,4.78,2169
1142.13,1165.43,0.31,1.63,38.04,2.02,3.32,469
1827.34,1864.75,0.1,1.34,18.63,8.01,3.11,50
353.02,370.87,0.28,1.25,5.51,16.07,4.02,2070
1094.48,1159.64,0.14,0.68,33.76,4.1,3.69,1251
1525.78,1571.68,0.28,0.54,18.43,5.55,4.67,1792
1371.13,1458.1,0.1,0.66,37.15,16.7,3.59,1121
988.73,1024.46,0.18,0.78,31.83,9.64,4.03,1688
489.21,484.37,0.11,1.49,34.42,9.76,3.64,1249
1032.46,1017.79,0.23,0.92,38.58,7.01,3.94,1083
807.53,824.82,0.13,1.32,15.32,24.08,3.44,991
1007.06,968.96,0.24,1.79,29.11,4.86,4.01,693
795.19,807.12,0.07,1.08,14.38,5.43,3.14,1226
1692.04,1734.74,0.01,0.77,11.05,6.88,3.69,585
1560.43,1637.94,0.1,0.83,33.82,11.5,4.65,813
696.59,725.85,0.24,1.33,7.28,4.74,3.88,1550
1187.99,1222.07,0.22,1.02,14.52,4.21,3.25,884
624.49,710.02,0.01,1.08,23.27,22.44,4.93,1459
960.4,887.73,0.22,0.52,38.82,6.14,4.03,1821
770.66,806.58,0.14,1.41,12.52,15.42,3.94,1199
1349.06,1208.57,0.07,0.78,25.18,6.56,4.93,1164
803.67,794.71,0.28,0.63,19.44,14.57,4.04,1736
972.28,1003.18,0.27,1.35,35.56,14.41,4.75,1040
1466.72,1745.02,0.18,0.96,32.75,14.67,5.0,822
884.68,870.31,0.09,1.11,30.74,7.2,4.14,1013
1822.2,1812.42,0.21,0.74,25.54,15.42,3.61,839
442.86,442.04,0.25,0.83,5.86,23.85,3.38,1766
1508.13,1654.01,0.16,0.78,7.82,10.42,4.51,1336
902.51,911.72,0.25,1.36,15.14,6.22,3.82,1054
910.26,1016.23,0.04,1.01,36.98,11.88,4.06,1146
1305.32,1368.38,0.15,0.88,36.18,6.34,3.23,1354
1093.52,1107.18,0.04,0.66,20.18,5.35,3.81,1436
888.28,905.3,0.04,1.04,31.84,3.15,2.99,1131
102.71,109.0,0.27,1.37,32.94,14.15,4.23,2375
275.3,255.81,0.31,1.65,5.12,16.25,4.94,2125
1447.85,1459.23,0.15,1.47,17.86,20.22,3.05,50
1096.26,1088.94,0.13,0.97,26.76,7.21,3.15,1178
1422.7,1485.21,0.32,1.75,9.65,14.74,3.29,50
1915.39,2025.66,0.25,0.67,29.37,3.08,4.95,1475
1397.54,1512.69,0.32,0.83,26.49,16.93,4.23,1137
200.94,207.09,0.02,1.78,15.23,24.31,4.12,1806
686.82,692.32,0.15,1.11,30.07,5.82,4.05,1318
1225.93,1271.98,0.28,1.59,27.21,15.76,4.02,604
546.73,567.6,0.17,0.71,21.64,20.63,3.21,1859
1933.44,1986.43,0.16,1.51,14.78,2.34,4.77,50
1895.59,1864.23,0.13,1.53,9.9,18.66,4.08,50
1711.96,1856.51,0.07,1.75,28.14,15.68,4.72,50
997.42,1017.55,0.23,0.59,21.66,14.11,3.59,1483
1698.81,1576.89,0.03,1.71,28.18,12.06,3.45,50
349.11,341.32,0.03,1.29,32.81,13.36,4.04,1923
686.59,760.16,0.06,1.35,11.4,18.67,4.9,1356
979.69,967.84,0.3,1.53,14.65,23.88,4.36,1055
1509.51,1643.37,0.13,0.89,23.21,14.81,4.85,1027
1023.07,1062.72,0.28,1.73,9.65,11.01,3.92,687
360.06,345.91,0.25,0.51,17.71,18.63,4.47,2147
752.72,755.61,0.33,0.85,30.3,24.29,4.02,1774
716.41,760.66,0.06,0.84,6.91,9.73,3.23,1418
670.8,681.83,0.06,1.63,24.19,11.32,3.79,824
414.45,434.63,0.05,0.6,37.98,17.76,3.64,1537
888.31,934.18,0.28,1.76,35.3,11.85,3.96,687
951.43,932.75,0.12,0.64,24.44,18.67,4.5,1629
1572.31,1522.79,0.05,1.4,17.16,6.22,4.22,50
1613.14,1586.77,0.25,1.75,26.9,7.31,3.17,50
1092.54,1117.78,0.05,0.82,5.24,9.3,3.94,1381
975.2,1027.99,0.04,1.2,35.63,11.48,4.21,1071
1578.61,1683.71,0.28,1.76,7.19,7.16,3.44,50
1785.85,1639.21,0.33,1.6,26.08,22.82,3.77,50
1382.35,1457.47,0.1,0.74,12.85,14.12,3.74,1086
1620.91,1684.46,0.28,1.55,17.3,14.67,4.6,50
1884.31,1863.58,0.04,1.37,22.24,14.37,4.01,50
177.25,190.33,0.3,1.29,36.37,19.51,3.47,1985
1763.78,1792.65,0.28,0.99,29.39,18.68,3.67,343
625.47,682.33,0.33,1.68,21.99,16.94,3.63,1378
1003.95,1024.75,0.3,0.76,19.53,23.52,4.4,1472
1613.85,1658.3,0.27,1.63,28.92,17.14,4.72,50
1462.76,1624.43,0.03,1.4,16.0,8.31,3.82,50
379.58,366.9,0.17,1.33,35.82,13.93,3.43,1725
1351.62,1357.15,0.08,0.52,13.36,3.63,4.19,1715
231.58,255.79,0.15,0.73,38.6,19.9,2.83,1892
778.43,832.87,0.27,1.46,38.26,21.84,3.6,855
1644.38,1565.11,0.08,1.42,8.23,5.72,4.8,148
912.64,949.03,0.11,1.75,11.86,11.67,4.06,428
1239.72,1306.97,0.1,0.97,22.87,5.77,4.21,1026
1483.51,1537.94,0.31,0.79,36.47,19.85,3.44,1139
1660.33,1599.61,0.0,1.43,11.02,23.01,3.31,50
1544.98,1698.52,0.16,0.9,33.42,13.65,4.18,827
113.57,106.72,0.2,1.78,19.54,18.73,4.11,1888
898.49,863.03,0.19,1.75,12.81,22.94,4.95,818
979.96,914.09,0.22,1.78,9.27,17.75,4.07,538
205.45,201.97,0.12,1.1,16.79,17.76,3.8,1957
1128.74,1205.75,0.23,1.03,16.08,14.09,3.06,1000
1254.76,1296.32,0.05,0.83,9.01,9.77,4.17,1410
1674.06,1711.47,0.17,0.69,23.67,6.3,4.96,1203
1889.44,1971.9,0.09,0.98,9.84,12.21,3.33,82
343.48,370.24,0.07,1.08,26.92,2.8,4.9,1923
537.82,573.6,0.14,0.92,29.3,8.06,4.17,1937
1352.4,1282.88,0.31,0.89,23.48,14.61,4.61,1352
351.7,360.64,0.03,1.08,16.61,19.85,3.86,1678
525.75,527.33,0.27,1.68,16.88,9.02,3.58,1537
1192.24,1255.13,0.15,1.65,21.02,23.21,4.89,157
422.1,446.51,0.0,0.73,38.62,7.54,3.33,1805
1586.24,1530.69,0.21,0.91,34.03,15.52,4.47,567
1728.25,1661.97,0.31,0.97,39.38,13.59,4.38,603
163.98,182.64,0.31,0.64,28.42,23.05,4.19,2308
1112.03,983.61,0.16,0.84,24.12,7.08,3.73,1225
1614.21,1769.88,0.34,1.27,15.67,17.22,3.7,361
1952.77,2069.9,0.07,0.93,15.03,9.17,4.97,665
621.09,682.39,0.31,0.93,9.51,8.51,3.89,1682
421.29,382.77,0.03,0.86,25.18,14.75,3.46,1572
1765.73,1588.2,0.22,0.64,21.37,18.83,3.75,840
1827.45,1832.15,0.33,0.71,35.22,5.21,4.04,1229
475.31,469.03,0.09,1.79,38.16,18.34,3.53,1116
938.91,1004.21,0.03,0.85,37.73,3.1,4.6,1526
1466.54,1492.47,0.19,0.51,14.42,4.23,4.16,1793
1706.16,1714.6,0.23,0.76,12.69,15.75,4.83,953
419.72,392.35,0.28,0.59,26.62,3.09,3.63,2013
1363.44,1423.04,0.08,1.79,10.29,4.38,4.0,50
1634.89,1693.49,0.29,1.62,33.7,23.41,4.81,50
1144.46,1163.35,0.27,1.23,28.45,17.6,4.7,1025
412.96,431.65,0.15,1.16,20.61,17.38,4.3,1647
167.5,167.13,0.25,1.52,24.17,15.28,4.56,2224
634.91,632.71,0.08,0.72,18.93,14.59,4.11,1646
1634.95,1688.33,0.15,1.45,12.32,18.69,4.55,50
185.06,176.93,0.22,0.9,13.62,21.64,4.99,2318
115.61,121.96,0.2,0.88,6.87,6.52,2.94,2208
787.07,754.94,0.16,1.73,23.1,13.1,4.45,955
220.88,237.79,0.23,1.67,8.06,16.74,3.77,2248
384.02,376.1,0.27,1.02,8.42,6.68,3.29,1776
144.06,129.46,0.03,0.83,9.52,18.3,3.42,1822
1096.97,1171.86,0.18,0.63,32.84,23.48,4.17,1411
1423.72,1408.3,0.17,0.7,26.79,17.09,3.08,947
911.4,892.29,0.04,1.74,31.89,3.82,3.41,378
355.68,347.27,0.03,1.18,23.37,8.59,3.23,1476
729.58,707.32,0.34,1.46,28.17,5.1,3.2,1316
1221.66,1231.9,0.32,0.85,6.86,6.47,2.82,1280
1887.26,2019.44,0.16,0.55,26.54,8.85,3.38,1180
1985.86,2064.84,0.3,0.6,17.48,7.11,4.23,1434
559.05,549.88,0.02,0.89,36.41,17.08,4.21,1680
120.1,136.41,0.1,0.53,8.96,22.5,3.71,2211
1678.22,1752.34,0.18,0.75,39.94,21.25,3.08,691
1860.56,1873.66,0.35,1.06,17.24,22.58,4.03,283
971.35,943.19,0.19,0.88,29.84,5.08,2.8,982
1565.74,1734.85,0.11,1.33,35.64,17.56,4.73,474
1745.78,1716.46,0.02,1.11,21.07,2.49,3.15,50
1258.27,1334.41,0.22,1.12,38.7,14.04,4.65,757
1757.99,1758.53,0.26,1.67,15.64,4.67,3.46,50
145.42,142.51,0.34,0.78,7.52,10.91,3.43,2215
616.03,595.06,0.27,0.64,10.03,22.23,4.12,2036
626.72,657.97,0.16,1.35,28.04,9.11,4.48,1312
329.2,360.55,0.34,1.19,35.32,7.39,3.08,1778
1830.36,1972.84,0.16,1.79,36.6,23.38,4.35,50
157.83,170.63,0.13,0.5,11.11,12.73,3.84,2301
1377.87,1398.53,0.09,0.95,30.74,13.91,4.95,1028
235.55,253.21,0.3,0.68,6.07,11.18,3.63,2215
785.48,835.99,0.06,1.64,8.4,3.43,3.54,933
894.39,957.58,0.2,1.75,27.87,12.03,3.43,584
444.67,423.51,0.1,0.84,28.77,7.41,4.96,1985
1089.93,1032.23,0.15,1.21,33.34,14.89,4.74,1101
1116.48,1176.67,0.26,1.59,25.49,16.82,4.05,504
702.38,657.35,0.05,0.88,23.63,3.49,3.12,1477
1500.47,1497.39,0.01,0.5,5.4,2.57,3.76,1360
404.38,421.19,0.09,0.85,16.69,22.74,4.7,1821
465.77,490.07,0.07,0.94,37.15,22.08,3.63,1369
773.57,833.69,0.29,0.51,24.65,18.78,3.98,1947
818.91,876.99,0.14,1.13,20.69,17.83,4.85,1365
491.94,502.65,0.02,0.86,17.21,3.14,4.28,1753
1845.55,1906.61,0.16,0.94,26.48,21.02,4.61,531
1673.38,1827.72,0.33,0.97,20.21,18.02,3.58,699
303.07,289.1,0.24,0.53,9.19,20.49,3.2,1908
802.02,758.13,0.27,0.98,36.63,12.59,4.07,1299
542.08,547.24,0.12,1.06,7.9,13.77,3.14,1877
957.05,1056.27,0.33,1.07,37.77,13.46,4.55,1437
625.0,686.57,0.24,1.29,16.16,13.54,3.66,1313
1053.43,1142.08,0.26,1.61,17.91,13.34,4.62,910
1852.95,1933.48,0.09,1.17,17.68,13.44,4.72,199
826.77,858.21,0.21,0.58,18.87,18.72,4.67,1811
1335.24,1246.31,0.34,0.7,20.89,20.13,3.57,1329
1231.68,1284.33,0.03,1.03,21.94,17.07,4.57,657
1528.71,1551.75,0.26,0.99,24.13,12.97,2.99,607
217.16,221.9,0.24,1.24,22.27,20.98,4.16,1860
1515.16,1610.8,0.25,0.76,35.03,6.28,3.72,1123
1897.92,2118.52,0.24,1.58,33.3,21.02,3.02,50
1246.76,1343.42,0.12,1.06,25.9,2.95,3.72,892
646.4,702.19,0.18,1.1,37.03,21.31,3.48,1526
1377.5,1446.85,0.15,0.99,30.5,2.32,4.47,977
1452.89,1571.24,0.31,1.25,11.9,10.65,4.59,637
1347.26,1369.23,0.14,1.36,10.47,6.77,3.32,411
379.17,393.26,0.3,1.14,13.25,4.52,4.32,2112
1949.6,2020.59,0.32,0.82,15.86,16.16,3.95,930
1915.23,2233.03,0.05,1.49,33.91,22.11,4.83,50
906.79,827.75,0.25,1.01,36.65,17.01,4.04,1388
1227.91,1229.92,0.01,0.52,6.57,9.26,3.25,1290
175.29,174.59,0.18,0.52,13.61,11.48,3.27,2110
1978.41,1982.76,0.27,0.59,5.71,23.81,4.12,1151
1655.62,1719.55,0.3,1.37,31.16,16.26,3.61,50
1309.35,1379.33,0.24,0.68,11.69,10.63,3.56,1535
1546.06,1497.58,0.32,0.62,13.55,10.96,3.97,1320
457.26,443.29,0.32,1.56,31.19,11.3,3.31,1500
684.54,722.38,0.29,0.77,29.07,22.42,2.83,1453
568.15,603.47,0.28,1.22,32.25,19.67,4.35,1625
1232.49,1388.25,0.2,1.65,17.1,10.7,4.06,321
274.62,293.54,0.01,1.17,27.85,9.42,4.46,1857
1801.66,1836.15,0.28,0.78,24.79,12.27,3.91,967
978.32,928.25,0.06,1.45,39.04,18.63,4.63,538
945.14,980.76,0.33,0.91,39.27,6.92,3.31,1402
298.95,301.09,0.14,0.53,21.1,14.57,4.76,2050
1401.32,1388.07,0.3,0.91,29.88,14.72,2.85,836
1652.1,1712.08,0.04,1.47,28.92,15.17,4.42,50
1296.15,1296.25,0.07,1.06,28.72,15.16,4.75,919
559.84,543.47,0.23,0.73,11.82,22.64,2.97,1746
1592.3,1577.68,0.19,1.06,36.47,16.32,3.17,277
376.79,402.62,0.13,1.03,8.89,12.84,4.94,2152
1671.83,1750.19,0.29,1.72,17.94,5.3,3.77,50
1203.34,1367.79,0.33,1.17,9.3,13.99,3.59,982
649.81,668.31,0.04,0.55,25.5,14.5,3.25,1599
1075.16,1242.51,0.33,1.75,36.25,7.62,4.16,485
1294.82,1301.75,0.28,0.86,12.67,20.92,4.21,1139
591.32,607.75,0.21,1.01,16.8,4.53,3.81,1721
1709.12,1716.43,0.34,0.97,21.48,15.12,4.12,636
900.38,923.48,0.18,1.29,29.76,10.5,3.34,1215
1795.44,1776.43,0.15,1.65,8.89,11.77,4.27,50
1687.39,1866.76,0.19,1.49,19.86,6.66,4.23,50
288.76,298.24,0.3,0.8,14.23,24.06,3.51,2150
1327.88,1351.83,0.16,1.66,31.47,24.31,2.91,50
689.94,672.0,0.14,0.73,21.92,19.61,4.04,1876
1532.7,1599.33,0.05,1.66,15.12,9.69,3.14,50
1131.0,1165.25,0.1,1.1,15.32,9.15,4.4,1115
969.44,960.11,0.03,1.47,11.48,12.37,3.91,759
1801.2,1798.09,0.14,0.7,5.27,19.95,4.15,782
208.78,218.17,0.21,0.77,28.85,3.92,4.23,2318
1158.9,1147.76,0.09,1.25,12.62,11.52,3.92,965
723.03,684.87,0.07,0.54,28.17,22.39,3.89,1515
167.02,165.51,0.28,1.3,6.64,14.21,4.19,2190
1531.69,1600.41,0.26,1.03,36.44,12.58,4.18,941
1167.31,1142.99,0.07,1.03,12.34,11.24,3.18,663
1798.88,1717.16,0.19,1.54,11.47,23.06,3.46,50
1236.7,1255.54,0.08,1.78,7.31,6.97,3.8,50
740.37,719.89,0.13,1.01,18.36,10.61,4.65,1645
1971.92,1994.68,0.14,0.73,33.27,9.22,3.59,735
319.86,344.12,0.21,1.67,20.21,7.21,2.93,1492
199.94,208.28,0.15,1.8,35.59,14.12,3.85,1864
1491.98,1397.11,0.25,0.91,16.1,5.16,3.68,756
804.66,823.36,0.06,1.31,23.26,14.8,4.47,1126
786.78,765.0,0.13,0.6,38.38,23.24,4.62,1891
1765.41,1844.67,0.19,1.65,35.17,5.97,3.44,50
721.86,762.19,0.13,1.3,28.8,4.52,3.71,1335
1789.08,1927.6,0.06,1.34,5.43,17.1,3.25,50
1323.58,1395.7,0.19,0.98,9.97,16.19,4.68,1147
725.19,742.47,0.17,0.99,16.82,13.11,3.43,1318
213.11,224.63,0.28,1.67,16.2,16.2,3.39,2040
565.71,534.77,0.26,0.91,38.76,15.08,3.58,1556
1939.99,1887.77,0.04,0.73,30.56,6.04,4.61,630
870.01,979.56,0.27,0.88,14.62,14.77,2.93,1472
404.06,436.44,0.2,1.76,31.08,13.05,4.26,1533
666.23,624.62,0.25,1.44,8.08,21.66,4.3,1212
1809.19,1776.12,0.05,1.27,19.77,22.49,3.31,50
413.46,386.99,0.02,0.78,5.92,6.34,4.73,1795
1577.93,1732.67,0.26,0.69,13.38,14.14,4.25,1564
356.24,386.32,0.1,0.52,24.36,20.13,4.99,1944
1926.65,1947.65,0.01,1.2,14.92,16.54,4.69,50
1107.39,1192.27,0.3,1.6,36.24,3.82,3.89,520
182.02,181.17,0.09,1.43,32.04,21.93,4.62,1915
1868.81,1972.93,0.05,1.53,39.25,12.57,3.06,50
780.63,770.37,0.13,0.59,8.53,19.65,3.63,1705
1489.7,1413.36,0.13,1.3,34.1,8.05,4.01,146
1095.05,1098.72,0.09,1.16,31.74,2.25,3.42,732
275.91,259.02,0.23,1.6,32.6,2.32,3.92,2103
301.51,291.42,0.33,1.0,14.68,3.2,4.38,2209
383.53,354.27,0.09,0.7,10.94,17.56,3.8,1829
406.28,406.73,0.09,1.61,11.68,3.29,4.57,1609
200.24,204.01,0.24,0.67,15.53,2.13,4.19,2346
189.33,195.89,0.18,0.77,37.39,18.83,4.94,2083
1902.01,1914.3,0.13,1.16,22.64,8.66,3.4,131
273.45,270.21,0.29,1.63,14.1,3.2,4.63,2137
1065.87,1122.33,0.21,0.7,11.39,21.55,3.76,1595
325.4,349.21,0.13,0.72,14.83,7.44,2.99,1864
508.1,492.53,0.15,1.77,28.47,15.3,4.86,1592
1549.84,1613.53,0.34,0.52,27.53,22.34,3.08,1561
1882.46,1844.3,0.08,0.89,27.34,19.06,4.35,414
992.45,972.63,0.34,1.0,23.0,10.41,4.57,1348
110.72,118.63,0.22,0.93,18.97,2.34,3.23,2258
