Product ID,Price,Competitor Price,Elasticity Index,Discount,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost
1,45.43,44.28,1.5,0.05,104,4.06,1.03,14.51
2,52.61,50.85,1.99,0.15,133,3.9,2.02,9.11
3,86.91,81.28,1.63,0.2,49,4.03,9.35,9.49
4,40.6,41.47,0.67,0.2,449,4.83,2.14,16.54
5,88.27,87.86,0.87,0.1,85,4.14,4.3,9.37
6,17.93,19.24,0.94,0.0,208,4.12,14.83,10.81
7,79.91,72.43,1.02,0.1,87,4.4,10.13,6.54
8,86.28,88.76,1.63,0.0,55,4.67,10.17,16.94
9,26.36,27.75,1.51,0.1,267,3.15,12.37,10.92
10,48.73,51.26,0.91,0.1,287,4.04,15.98,11.5
11,24.89,26.82,0.64,0.2,246,3.96,4.01,17.73
12,73.59,76.97,0.84,0.0,169,2.84,4.29,18.49
13,58.18,63.16,2.47,0.05,22,3.8,3.31,16.66
14,67.18,64.93,1.44,0.05,22,2.67,18.8,2.24
15,27.68,27.7,2.23,0.1,125,2.96,11.97,9.43
16,29.06,26.23,2.2,0.1,92,4.78,2.76,7.52
17,13.73,12.38,1.52,0.2,248,2.8,5.19,5.06
18,38.99,36.96,1.91,0.0,133,3.95,14.79,18.27
19,60.38,55.56,0.89,0.1,159,3.31,1.55,17.91
20,87.21,83.03,1.88,0.05,5,3.89,14.79,9.84
21,70.02,65.5,1.04,0.0,120,3.09,18.32,3.56
22,49.19,44.55,2.16,0.1,70,3.61,2.07,1.25
23,95.78,103.62,0.67,0.0,136,4.67,4.54,9.33
24,74.73,67.38,2.05,0.2,29,3.44,1.05,1.76
25,93.71,98.14,0.7,0.05,145,3.38,3.07,12.58
26,57.48,53.48,2.26,0.0,70,3.62,12.72,12.56
27,33.3,36.05,1.11,0.05,199,2.75,1.85,18.08
28,14.75,15.91,1.81,0.1,317,3.47,9.09,4.61
29,75.35,77.67,1.48,0.15,72,2.52,10.56,8.06
30,20.92,21.64,1.23,0.0,163,3.76,18.23,17.33
31,37.25,33.56,1.79,0.05,152,4.62,10.01,10.01
32,57.92,63.54,2.4,0.0,35,3.88,3.71,2.13
33,60.8,65.39,0.58,0.1,211,4.02,6.5,3.1
34,64.05,69.11,2.34,0.1,40,2.58,13.77,16.46
35,24.96,25.76,1.72,0.05,323,4.65,3.13,15.13
36,44.18,42.81,2.11,0.2,169,3.46,5.4,17.64
37,65.55,70.71,1.27,0.0,124,4.94,19.92,3.26
38,97.28,93.23,1.44,0.0,27,2.8,1.11,15.45
39,75.49,76.43,2.24,0.1,20,4.86,3.89,13.45
40,93.03,85.59,1.33,0.0,56,4.09,17.03,5.41
41,78.6,85.23,1.57,0.05,30,2.63,2.93,19.5
42,63.25,58.71,0.54,0.15,298,4.93,1.64,11.84
43,27.28,25.78,0.82,0.1,139,2.53,3.3,18.23
44,70.0,70.82,1.78,0.15,83,4.33,14.18,17.32
45,66.1,69.6,1.93,0.0,46,4.72,19.87,7.33
46,64.22,65.76,1.67,0.2,95,2.94,12.22,11.18
47,54.08,51.18,0.79,0.05,177,3.36,3.36,9.2
48,57.58,51.83,1.39,0.0,87,3.9,4.49,14.47
49,40.1,42.16,1.21,0.05,213,4.2,11.22,12.17
50,56.74,62.24,1.49,0.0,81,4.68,14.6,15.91
51,27.78,29.5,2.24,0.0,227,4.4,13.6,1.22
52,82.47,81.81,2.05,0.0,52,3.41,11.92,14.07
53,26.72,28.88,0.67,0.1,613,4.55,19.74,7.06
54,17.65,17.33,2.28,0.15,394,4.92,4.76,5.26
55,49.26,49.51,1.44,0.2,164,3.07,4.29,16.22
56,69.25,68.93,1.99,0.15,48,2.69,17.32,2.7
57,49.39,48.88,0.78,0.15,144,3.57,6.53,5.34
58,34.91,36.83,1.84,0.05,82,4.7,7.32,4.87
59,60.24,60.56,0.97,0.1,65,2.88,11.42,8.98
60,41.23,39.72,1.38,0.1,154,4.71,8.24,7.12
61,93.96,89.41,0.53,0.0,134,4.98,6.47,14.69
62,93.04,84.44,0.8,0.15,99,2.64,18.43,14.29
63,55.21,56.13,0.68,0.2,412,3.74,3.46,7.18
64,39.51,37.38,0.98,0.05,166,3.32,8.68,9.3
65,76.34,70.97,0.7,0.1,135,3.48,1.06,4.95
66,13.3,13.71,1.88,0.0,284,3.63,16.34,13.75
67,52.73,54.64,0.56,0.2,209,4.35,4.2,8.53
68,40.27,42.3,1.74,0.15,224,3.98,15.69,3.52
69,92.85,92.91,0.78,0.2,88,4.9,3.82,3.42
70,11.08,11.95,2.39,0.1,468,3.33,8.92,7.12
71,59.75,64.97,2.37,0.05,62,3.85,14.84,15.2
72,76.66,81.37,0.95,0.15,120,4.53,6.15,1.48
73,53.65,55.11,1.73,0.05,61,3.43,6.96,5.9
74,17.69,16.99,0.56,0.2,627,3.66,13.68,4.09
75,97.52,106.94,2.36,0.2,16,4.21,4.57,19.17
76,56.62,54.06,1.55,0.0,124,4.65,19.08,14.4
77,65.28,61.39,0.59,0.15,357,3.54,4.59,5.43
78,31.29,30.93,1.18,0.2,167,3.83,15.25,4.94
79,53.51,48.77,0.65,0.1,240,4.94,16.25,17.3
80,48.62,53.28,1.29,0.1,109,2.61,8.11,4.61
81,16.74,17.04,1.84,0.05,378,3.62,3.97,19.94
82,19.55,19.78,1.44,0.1,349,4.09,4.15,6.36
83,85.37,88.03,1.27,0.2,59,2.52,19.72,2.6
84,31.58,31.56,0.74,0.1,204,3.99,14.78,14.13
85,27.55,24.97,0.99,0.15,226,2.64,9.55,12.58
86,55.44,56.69,0.7,0.05,249,4.64,5.89,20.0
87,79.19,82.61,2.11,0.15,28,4.52,1.36,16.24
88,15.58,15.32,0.77,0.2,465,2.58,13.74,9.15
89,61.91,65.1,1.69,0.2,123,2.62,19.18,13.86
90,20.73,19.6,1.19,0.1,300,4.38,3.03,16.54
91,13.28,12.54,0.95,0.0,184,3.42,15.34,10.76
92,14.75,13.75,1.78,0.0,306,3.94,3.91,6.18
93,85.07,82.9,1.41,0.2,75,3.18,16.05,4.99
94,20.62,22.05,1.3,0.2,383,2.93,8.04,6.61
95,14.06,14.99,1.69,0.05,382,3.24,14.53,17.11
96,49.41,48.25,1.48,0.2,149,3.12,18.6,8.23
97,85.96,87.49,1.11,0.2,150,3.62,12.78,6.45
98,33.62,35.1,1.62,0.05,194,4.37,18.49,16.31
99,47.95,45.47,1.84,0.15,18,3.89,5.47,1.61
100,13.59,12.69,0.55,0.15,275,4.02,19.58,12.29
101,50.42,55.18,1.43,0.05,82,3.68,17.58,17.6
102,61.99,63.44,0.62,0.05,231,3.31,3.04,8.79
103,61.38,67.29,0.87,0.15,121,2.86,8.86,6.12
104,39.92,38.62,1.62,0.15,145,3.39,18.61,10.34
105,38.4,39.96,2.23,0.15,158,4.16,2.48,14.63
106,19.6,18.51,2.27,0.15,216,4.33,9.62,10.82
107,43.01,40.96,0.64,0.1,274,3.67,14.75,1.15
108,18.95,19.0,1.34,0.05,382,4.11,1.64,2.49
109,78.99,76.14,1.67,0.0,18,3.03,15.3,14.71
110,96.96,90.52,0.79,0.1,81,4.65,7.86,8.6
111,97.31,92.69,2.03,0.0,13,4.66,5.74,15.91
112,87.86,79.7,1.99,0.0,18,3.3,11.94,13.34
113,64.07,66.69,2.31,0.2,65,3.87,11.34,12.05
114,73.08,72.96,0.52,0.05,336,4.02,17.6,18.13
115,35.67,32.77,0.93,0.1,289,3.68,13.84,1.41
116,66.77,62.39,2.15,0.05,62,4.78,9.02,3.95
117,51.01,46.95,1.84,0.15,132,4.35,13.35,12.86
118,53.38,54.58,2.29,0.05,40,4.18,15.25,2.25
119,78.2,71.85,0.61,0.0,219,3.8,18.81,13.25
120,35.37,37.17,1.69,0.15,181,2.71,14.38,19.7
121,38.62,34.92,1.64,0.05,157,2.77,11.33,17.7
122,93.22,88.55,0.57,0.05,245,3.25,8.09,12.23
